
Grupos;202;Fabricació de fulloles, taulers contraplacats, enllistonats, de partícules aglomerades, de fibres i altres taulers i plafons;
Clases;2020;Fabricació de fulloles, taulers contraplacats, enllistonats, de partícules aglomerades, de fibres i altres taulers i plafons;
Subclases;20200;Fabricació de fulloles, taulers contraplacats, enllistonats, de partícules aglomerades, de fibres i altres taulers i plafons;
Grupos;203;Fabricació d'estructures de fusta i peces de fusteria i ebenisteria per a la construcció;
Clases;2030;Fabricació d'estructures de fusta i peces de fusteria i ebenisteria per a la construcció;
Subclases;20301;Fabricació de peces de fusteria i ebenisteria per a la construcció;
Subclases;20302;Fabricació d'estructures de fusta;
Grupos;204;Fabricació d'envasos i embalatges de fusta;
Clases;2040;Fabricació d'envasos i embalatges de fusta;
Subclases;20400;Fabricació d'envasos i embalatges de fusta;
Grupos;205;"Fabricació d'altres productes de fusta; fabricació de productes de suro, cistelleria i esparteria";
Clases;2051;Fabricació d'altres productes de fusta;
Subclases;20510;Fabricació d'altres productes de fusta;
Clases;2052;Fabricació de productes de suro, cistelleria i esparteria;
Subclases;20521;Tractament del suro en escruix i fabricació de productes de suro;
Subclases;20522;Fabricació d'articles de cistelleria i esparteria;
Subsecciones;DE;"INDÚSTRIES DEL PAPER; EDICIÓ, ARTS GRÀFIQUES I REPRODUCCIÓ DE SUPORTS ENREGISTRATS";
Divisiones;21;Indústries del paper;
Grupos;211;Fabricació de pasta de paper, paper i cartó;
Clases;2111;Fabricació de pasta de paper;
Subclases;21111;Fabricació de pasta de paper a partir de fibra verge;
Subclases;21112;Fabricació de pasta de paper a partir de fibra regenerada;
Clases;2112;Fabricació de paper i de cartó;
Subclases;21120;Fabricació de paper i de cartó;
Grupos;212;Fabricació d'articles de paper i de cartó;
Clases;2121;"Fabricació de paper i de cartó ondulats; fabricació d'envasos i embalatges de paper i de cartó";
Subclases;21210;"Fabricació de paper i de cartó ondulats; fabricació d'envasos i embalatges de paper i de cartó";
Clases;2122;Fabricació d'articles de paper i de cartó per a ús domèstic i sanitari;
Subclases;21220;Fabricació d'articles de paper i de cartó per a ús domèstic i sanitari;
Clases;2123;Fabricació d'articles de papereria;
Subclases;21230;Fabricació d'articles de papereria;
Clases;2124;Fabricació de papers pintats;
Subclases;21240;Fabricació de papers pintats;
Clases;2125;Fabricació d'altres articles de paper i de cartó;
Subclases;21250;Fabricació d'altres articles de paper i de cartó;
Divisiones;22;Edició, arts gràfiques i reproducció de suports enregistrats;
Grupos;221;Edició;
Clases;2211;Edició de llibres;
Subclases;22110;Edició de llibres;
Clases;2212;Edició de periòdics;
Subclases;22120;Edició de periòdics;
Clases;2213;Edició de revistes;
Subclases;22130;Edició de revistes;
Clases;2214;Edició de suports de so enregistrats;
Subclases;22140;Edició de suports de so enregistrats;
Clases;2215;Altres activitats d'edició;
Subclases;22150;Altres activitats d'edició;
Grupos;222;Arts gràfiques i activitats dels serveis que s'hi relacionen;
Clases;2221;Impressió de periòdics;
Subclases;22210;Impressió de periòdics;
Clases;2222;Altres activitats d'impressió;
Subclases;22220;Altres activitats d'impressió;
Clases;2223;Enquadernació;
Subclases;22230;Enquadernació;
Clases;2224;Activitats de preimpressió;
Subclases;22240;Activitats de preimpressió;
Clases;2225;Activitats auxiliars relacionades amb la impressió;
Subclases;22250;Activitats auxiliars relacionades amb la impressió;
Grupos;223;Reproducció de suports enregistrats;
Clases;2231;Reproducció de suports de so enregistrats;
Subclases;22310;Reproducció de suports de so enregistrats;
Clases;2232;Reproducció de suports de vídeo enregistrats;
Subclases;22320;Reproducció de suports de vídeo enregistrats;
Clases;2233;Reproducció de suports d'informàtica enregistrats;
Subclases;22330;Reproducció de suports d'informàtica enregistrats;
Subsecciones;DF;REFINACIÓ DE PETROLI I TRACTAMENT DE COMBUSTIBLES NUCLEARS;
Divisiones;23;Coqueries, refinació de petroli i tractament de combustibles nuclears;
Grupos;231;Coqueries;
Clases;2310;Coqueries;
Subclases;23100;Coqueries;
Grupos;232;Refinació de petroli;
Clases;2320;Refinació de petroli;
Subclases;23200;Refinació de petroli;
Grupos;233;Tractament de combustibles nuclears i residus radioactius;
Clases;2330;Tractament de combustibles nuclears i residus radioactius;
Subclases;23301;Producció de combustibles nuclears i isòtops radioactius;
Subclases;23302;Processament de combustibles nuclears i gestió de residus radioactius;
Subsecciones;DG;INDÚSTRIES QUÍMIQUES;
Divisiones;24;Indústries químiques;
Grupos;241;Fabricació de productes químics bàsics;
Clases;2411;Fabricació de gasos industrials;
Subclases;24110;Fabricació de gasos industrials;
Clases;2412;Fabricació de colorants i pigments;
Subclases;24120;Fabricació de colorants i pigments;
Clases;2413;Fabricació de productes bàsics de química inorgànica;
Subclases;24130;Fabricació de productes bàsics de química inorgànica;
Clases;2414;Fabricació de productes bàsics de química orgànica;
Subclases;24141;Fabricació de productes químics orgànics d'origen petroquímic;
Subclases;24142;Fabricació d'altres productes bàsics de química orgànica;
Clases;2415;Fabricació d'adobs i compostos nitrogenats fertilitzants;
Subclases;24150;Fabricació d'adobs i compostos nitrogenats fertilitzants;
Clases;2416;Fabricació de primeres matèries plàstiques;
Subclases;24160;Fabricació de primeres matèries plàstiques;
Clases;2417;Fabricació de cautxú sintètic en forma primària;
Subclases;24170;Fabricació de cautxú sintètic en forma primària;
Grupos;242;Fabricació de plaguicides i altres productes agroquímics;
Clases;2420;Fabricació de plaguicides i altres productes agroquímics;
Subclases;24200;Fabricació de plaguicides i altres productes agroquímics;
Grupos;243;"Fabricació de pintures, vernissos i revestiments similars; tintes d'impremta i màstics";
Clases;2430;"Fabricació de pintures, vernissos i revestiments similars; tintes d'impremta i màstics";
Subclases;24301;Fabricació de pintures, vernissos i revestiments similars;
Subclases;24302;Fabricació de tintes d'impremta;
Grupos;244;Fabricació de productes farmacèutics;
Clases;2441;Fabricació de productes farmacèutics de base;
Subclases;24410;Fabricació de productes farmacèutics de base;
Clases;2442;Fabricació de preparats farmacèutics i altres productes farmacèutics d'ús medicinal;
Subclases;24421;Fabricació d'especialitats farmacèutiques;
Subclases;24422;Fabricació d'altres productes de farmàcia;
Grupos;245;"Fabricació de sabons, detergents i altres articles de neteja i abrillantament; fabricació de perfums i productes de bellesa i higiene";
Clases;2451;Fabricació de sabons, detergents i altres articles de neteja i abrillantament;
Subclases;24510;Fabricació de sabons, detergents i altres articles de neteja i abrillantament;
Clases;2452;Fabricació de perfums i productes de bellesa i higiene;
Subclases;24520;Fabricació de perfums i productes de bellesa i higiene;
Grupos;246;Fabricació d'altres productes químics;
Clases;2461;Fabricació d'explosius i articles pirotècnics;
Subclases;24611;Fabricació d'explosius;
Subclases;24612;Fabricació d'articles pirotècnics;
Clases;2462;Fabricació de coles i gelatines;
Subclases;24620;Fabricació de coles i gelatines;
Clases;2463;Fabricació d'olis essencials;
Subclases;24630;Fabricació d'olis essencials;
Clases;2464;Fabricació de material fotogràfic verge i preparats químics per a fotografia;
Subclases;24640;Fabricació de material fotogràfic verge i preparats químics per a fotografia;
Clases;2465;Fabricació de suports verges per a enregistrament;
Subclases;24650;Fabricació de suports verges per a enregistrament;
Clases;2466;Fabricació d'altres productes químics;
Subclases;24661;Tractament d'olis i greixos per a usos industrials;
Subclases;24662;Fabricació d'altres productes químics;
Grupos;247;Fabricació de fibres artificials i sintètiques;
Clases;2470;Fabricació de fibres artificials i sintètiques;
Subclases;24700;Fabricació de fibres artificials i sintètiques;
Subsecciones;DH;INDÚSTRIES DE LA TRANSFORMACIÓ DEL CAUTXÚ I MATÈRIES PLÀSTIQUES;
Divisiones;25;Fabricació de productes de cautxú i matèries plàstiques;
Grupos;251;Fabricació de productes de cautxú;
Clases;2511;Fabricació de pneumàtics i cambres de cautxú;
Subclases;25110;Fabricació de pneumàtics i cambres de cautxú;
Clases;2512;Reconstrucció i recautxutatge de pneumàtics;
